X99.7,Not known
F48.4,Sialography
F48.5,Injection of therapeutic substance into salivary gland
F48.8,Other specified other operations on salivary gland
F50.2,Transposition of submandibular duct
F50.9,Unspecified transposition of salivary duct
F51.1,Open extraction of calculus from parotid duct
F51.2,Open extraction of calculus from submandibular duct
F51.8,Other specified open extraction of calculus from salivary duct
F51.9,Unspecified open extraction of calculus from salivary duct
F52.1,Ligation of parotid duct
F53.1,Open operations on parotid duct NEC
F53.2,Open operations on submandibular duct NEC
F53.8,Other specified other open operations on salivary duct
F55.1,Dilation of parotid duct
F55.2,Dilation of submandibular duct
F55.8,Other specified dilation of salivary duct
F55.9,Unspecified dilation of salivary duct
F56.1,Manipulative removal of calculus from parotid duct
F56.2,Manipulative removal of calculus from submandibular duct
F56.8,Other specified manipulative removal of calculus from salivary duct
F56.9,Unspecified manipulative removal of calculus from salivary duct
F58.1,Operations on parotid duct NEC
F58.2,Operations on submandibular duct NEC
F58.8,Other specified other operations on salivary duct
F63.1,Creating of impression for denture or obturator
F63.2,Fitting of denture or obturator
F63.3,Adjustment of denture or obturator
F63.4,Repair of denture or obturator
F63.5,Splinting of teeth
F63.8,Other specified insertion of dental prosthesis
F63.9,Unspecified insertion of dental prosthesis
G01.1,Oesophagogastrectomy and anastomosis of oesophagus to stomach
G02.4,Total oesophagectomy and interposition of microvascularly attached colon
G05.1,Bypass of oesophagus by anastomosis of oesophagus to oesophagus
G05.5,Bypass of oesophagus by interposition of microvascularly attached colon
G06.8,Other specified attention to connection of oesophagus
G10.4,Local ligation of varices of oesophagus
G10.9,Unspecified open operations on varices of oesophagus
G11.2,Open insertion of tubal prosthesis into oesophagus NEC
G14.1,Fibreoptic endoscopic snare resection of lesion of oesophagus
G14.2,Fibreoptic endoscopic laser destruction of lesion of oesophagus
G14.6,Fibreoptic endoscopic submucosal resection of lesion of oesophagus
G14.8,Other specified fibreoptic endoscopic extirpation of lesion of oesophagus
G15.1,Fibreoptic endoscopic removal of foreign body from oesophagus
G15.2,Fibreoptic endoscopic balloon dilation of oesophagus
G15.3,Fibreoptic endoscopic dilation of oesophagus NEC
G15.4,Fibreoptic endoscopic insertion of tubal prosthesis into oesophagus
G15.5,Fibreoptic endoscopic dilation of web of oesophagus
G15.6,Fibreoptic endoscopic insertion of expanding metal stent into oesophagus NEC
G15.7,Fibreoptic endoscopic insertion of expanding covered metal stent into oesophagus
G15.8,Other specified other therapeutic fibreoptic endoscopic operations on oesophagus
G16.1,Diagnostic fibreoptic endoscopic examination of oesophagus and biopsy of lesion of oesophagus
G16.2,Diagnostic fibreoptic endoscopic ultrasound examination of oesophagus
G16.8,Other specified diagnostic fibreoptic endoscopic examination of oesophagus
G16.9,Unspecified diagnostic fibreoptic endoscopic examination of oesophagus
G17.8,Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope
G18.1,Endoscopic removal of foreign body from oesophagus using rigid oesophagoscope
G19.9,Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope
G21.1,Intubation of oesophagus for ph manometry
G21.2,Intubation of oesophagus for pressure manometry
G21.3,Intubation of oesophagus and instillation of acid or alkali HFQ
G21.4,Intubation of oesophagus NEC
G21.5,Insertion of stent into oesophagus NEC
G21.8,Other specified other operations on oesophagus
G23.3,Repair of oesophageal hiatus using abdominal approach
G23.4,Repair of diaphragmatic hernia using abdominal approach NEC
G23.9,Unspecified repair of diaphragmatic hernia
G24.3,Antireflux fundoplication using abdominal approach
G24.5,Gastroplasty and antireflux procedure HFQ
G25.1,Revision of fundoplication of stomach
G25.9,Unspecified revision of antireflux operations
G27.5,Total gastrectomy and anastomosis of oesophagus to jejunum NEC
G28.1,Partial gastrectomy and anastomosis of stomach to duodenum
G28.4,Sleeve gastrectomy and duodenal switch
G28.5,Sleeve gastrectomy NEC
G28.9,Unspecified partial excision of stomach
G30.2,Partitioning of stomach NEC
G30.3,Partitioning of stomach using band
G30.5,Maintenance of gastric band
G30.8,Other specified plastic operations on stomach
G32.1,Bypass of stomach by anastomosis of stomach to transposed jejunum
G33.1,Bypass of stomach by anastomosis of stomach to jejunum NEC
G33.6,Attention to connection of stomach to jejunum
G34.1,Creation of permanent gastrostomy
G34.2,Creation of temporary gastrostomy
G34.4,Closure of gastrostomy
G34.5,Attention to gastrostomy tube
G34.8,Other specified artificial opening into stomach
G38.1,Open biopsy of lesion of stomach
G38.3,Open insertion of feeding tube into stomach
G38.7,Removal of gastric band
G40.9,Unspecified incision of pylorus
G43.1,Fibreoptic endoscopic snare resection of lesion of upper gastrointestinal tract
G43.2,Fibreoptic endoscopic laser destruction of lesion of upper gastrointestinal tract
G43.3,Fibreoptic endoscopic cauterisation of lesion of upper gastrointestinal tract
G43.5,Fibreoptic endoscopic destruction of lesion of upper gastrointestinal tract NEC
G43.6,Fibreoptic endoscopic injection therapy to lesion of upper gastrointestinal tract NEC
G43.7,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices
G43.8,Other specified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract
G43.9,Unspecified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract
G44.1,Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract
G44.2,Fibreoptic endoscopic removal of foreign body from upper gastrointestinal tract
G44.3,Fibreoptic endoscopic dilation of upper gastrointestinal tract NEC
G44.5,Fibreoptic endoscopic percutaneous insertion of gastrostomy
G44.6,Fibreoptic endoscopic pressure controlled balloon dilatation of lower oesophageal sphincter
G44.7,Fibreoptic endoscopic removal of gastrostomy tube
G44.8,Other specified other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract
G45.1,Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract
G45.2,Fibreoptic endoscopic ultrasound examination of upper gastrointestinal tract
G45.3,Fibreoptic endoscopic insertion of Bravo pH capsule into upper gastrointestinal tract
G45.8,Other specified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract
G45.9,Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract
G46.9,Unspecified therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract
G47.1,Intubation of stomach for ph manometry
G47.2,Intubation of stomach for pressure manometry
G47.3,Irrigation of stomach
G47.4,Intubation of stomach for study of gastric secretion
G47.8,Other specified intubation of stomach
G47.9,Unspecified intubation of stomach
G48.1,Insertion of gastric bubble
G48.4,Administration of activated charcoal
G48.5,Insertion of gastric balloon
G48.6,Attention of gastric balloon
G48.8,Other specified other operations on stomach
G50.1,Excision of lesion of duodenum
G50.8,Other specified open extirpation of lesion of duodenum
G50.9,Unspecified open extirpation of lesion of duodenum
G51.3,Bypass of duodenum by anastomosis of duodenum to jejunum
G54.1,Endoscopic extirpation of lesion of duodenum
G54.2,Endoscopic dilation of duodenum
G55.1,Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum
G55.8,Other specified diagnostic endoscopic examination of duodenum
G55.9,Unspecified diagnostic endoscopic examination of duodenum
G58.8,Other specified excision of jejunum
G60.1,Creation of jejunostomy
G60.2,Refashioning of jejunostomy
G60.3,Closure of jejunostomy
G60.8,Other specified artificial opening into jejunum
G63.2,Incision of jejunum
G63.3,Closure of perforation of jejunum
G64.8,Other specified therapeutic endoscopic operations on jejunum
G67.4,Intubation of jejunum NEC
G67.8,Other specified other operations on jejunum
G69.4,Ileectomy and anastomosis of ileum to colon
G70.1,Excision of meckel diverticulum
G71.4,Bypass of ileum by anastomosis of ileum to transverse colon
G75.3,Closure of ileostomy
G75.4,Dilation of ileostomy
G75.8,Other specified attention to artificial opening into ileum
G75.9,Unspecified attention to artificial opening into ileum
G80.1,Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum
G80.2,Wireless capsule endoscopy
G80.3,Diagnostic endoscopic balloon examination of ileum
G80.8,Other specified diagnostic endoscopic examination of ileum
G80.9,Unspecified diagnostic endoscopic examination of ileum
G82.1,Radiological reduction of intussusception of ileum using barium enema
H01.1,Emergency excision of abnormal appendix and drainage HFQ
H01.9,Unspecified emergency excision of appendix
H02.4,Incidental appendicectomy
H02.8,Other specified other excision of appendix
H02.9,Unspecified other excision of appendix
H03.1,Drainage of abscess of appendix
H04.1,Panproctocolectomy and ileostomy
H06.2,Extended right hemicolectomy and anastomosis of ileum to colon
H07.2,Right hemicolectomy and side to side anastomosis of ileum to transverse colon
H07.3,Right hemicolectomy and anastomosis NEC
H07.8,Other specified other excision of right hemicolon
H08.1,Transverse colectomy and end to end anastomosis
H08.2,Transverse colectomy and anastomosis of ileum to colon
H09.2,Left hemicolectomy and end to end anastomosis of colon to colon
H09.4,Left hemicolectomy and ileostomy HFQ
H11.1,Colectomy and end to end anastomosis of colon to colon NEC
H11.2,Colectomy and side to side anastomosis of ileum to colon NEC
H11.4,Colectomy and ileostomy NEC
H12.2,Excision of lesion of colon NEC
H12.3,Destruction of lesion of colon NEC
H15.1,Loop colostomy
H15.2,End colostomy
H15.5,Dilation of colostomy
H15.6,Reduction of prolapse of colostomy
H15.8,Other specified other exteriorisation of colon
H15.9,Unspecified other exteriorisation of colon
H18.1,Open colonoscopy
H18.8,Other specified open endoscopic operations on colon
H18.9,Unspecified open endoscopic operations on colon
H19.1,Open biopsy of lesion of colon
H19.3,Enterorrhaphy of colon
H19.8,Other specified other open operations on colon
H19.9,Unspecified other open operations on colon
H20.1,Fibreoptic endoscopic snare resection of lesion of colon
H20.2,Fibreoptic endoscopic cauterisation of lesion of colon
H20.3,Fibreoptic endoscopic laser destruction of lesion of colon
H20.4,Fibreoptic endoscopic destruction of lesion of colon NEC
H20.5,Fibreoptic endoscopic submucosal resection of lesion of colon
H20.6,Fibreoptic endoscopic resection of lesion of colon NEC
H20.8,Other specified endoscopic extirpation of lesion of colon
H20.9,Unspecified endoscopic extirpation of lesion of colon
H21.1,Fibreoptic endoscopic dilation of colon
H21.4,Fibreoptic endoscopic insertion of expanding metal stent into colon
H21.8,Other specified other therapeutic endoscopic operations on colon
H21.9,Unspecified other therapeutic endoscopic operations on colon
H22.1,Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
H22.8,Other specified diagnostic endoscopic examination of colon
H22.9,Unspecified diagnostic endoscopic examination of colon
H23.1,Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope
H23.2,Endoscopic cauterisation of lesion of lower bowel using fibreoptic sigmoidoscope
H23.3,Endoscopic laser destruction of lesion of lower bowel using fibreoptic sigmoidoscope
H23.4,Endoscopic destruction of lesion of lower bowel using fibreoptic sigmoidoscope NEC
H23.5,Endoscopic submucosal resection of lesion of lower bowel using fibreoptic sigmoidoscope
H23.6,Endoscopic resection of lesion of lower bowel using fibreoptic sigmoidoscope NEC
H23.8,Other specified endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
H23.9,Unspecified endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
H24.1,Endoscopic dilation of lower bowel using fibreoptic sigmoidoscope
H24.2,Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
H24.3,Endoscopic insertion of tubal prosthesis into lower bowel using fibreoptic sigmoidoscope
H24.4,Endoscopic insertion of expanding metal stent into lower bowel using fibreoptic sigmoidoscope
H24.8,Other specified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
H24.9,Unspecified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
H25.1,Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope
H25.2,Diagnostic endoscopic examination of lower bowel and sampling for bacterial overgrowth using fibreoptic sigmoidoscope.
H25.8,Other specified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
H25.9,Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
H26.1,Endoscopic snare resection of lesion of sigmoid colon using rigid sigmoidoscope
H26.2,Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
H26.3,Endoscopic laser destruction of lesion of sigmoid colon using rigid sigmoidoscope
H26.5,Endoscopic destruction of lesion of sigmoid colon using rigid sigmoidoscope NEC
H26.6,Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
H26.7,Endoscopic resection of lesion of sigmoid colon using rigid sigmoidoscope NEC
H26.8,Other specified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H26.9,Unspecified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H27.1,Endoscopic dilation of sigmoid colon using rigid sigmoidoscope
H27.2,Endoscopic removal of foreign body from sigmoid colon using rigid sigmoidoscope
H27.3,Endoscopic insertion of tubal prosthesis into sigmoid colon using rigid sigmoidoscope
H27.8,Other specified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
H27.9,Unspecified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
H28.1,Diagnostic endoscopic examination of sigmoid colon and biopsy of lesion of sigmoid colon using rigid sigmoidoscope
H28.8,Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
H28.9,Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
H29.1,Subtotal excision of colon and rectum and creation of colonic pouch and anastomosis of colon to anus
H29.4,Subtotal excision of colon and creation of colonic pouch NEC
H29.8,Other specified subtotal excision of colon
H29.9,Unspecified subtotal excision of colon
H30.2,Intubation of colon for pressure manometry
H30.3,Passage of flatus tube to reduce volvulus of sigmoid colon
H30.4,Intubation of colon NEC
H30.5,Irrigation of colon
H30.9,Unspecified other operations on colon
H31.5,Image guided removal of colorectal stent
H31.9,Unspecified image guided colorectal therapeutic operations
H33.1,Abdominoperineal excision of rectum and end colostomy
H33.3,Anterior resection of rectum and anastomosis of colon to rectum using staples
H33.4,Anterior resection of rectum and anastomosis NEC
H33.8,Other specified excision of rectum
H33.9,Unspecified excision of rectum
H34.2,Open cauterisation of lesion of rectum
H34.9,Unspecified open extirpation of lesion of rectum
H35.2,Posterior fixation of rectum using prosthetic material
H35.3,Posterior fixation of rectum NEC
H35.8,Other specified fixation of rectum for prolapse
H35.9,Unspecified fixation of rectum for prolapse
H36.8,Other specified other abdominal operations for prolapse of rectum
H36.9,Unspecified other abdominal operations for prolapse of rectum
H40.1,Trans-sphincteric excision of mucosa of rectum
H40.2,Trans-sphincteric excision of lesion of rectum
H40.3,Trans-sphincteric destruction of lesion of rectum
H40.9,Unspecified operations on rectum through anal sphincter
H41.2,Peranal excision of lesion of rectum
H41.4,Peranal mucosal proctectomy and endoanal anastomosis
H41.8,Other specified other operations on rectum through anus
H41.9,Unspecified other operations on rectum through anus
H42.1,Insertion of encircling suture around perianal sphincter
H42.4,Removal of encircling suture from around perianal sphincter
H42.8,Other specified perineal operations for prolapse of rectum
H44.1,Manual removal of foreign body from rectum
H44.2,Manual reduction of prolapse of rectum
H44.3,Manual evacuation of impacted faeces from rectum
H44.4,Examination of rectum under anaesthetic
H44.5,Massage of rectum
H44.8,Other specified manipulation of rectum
H44.9,Unspecified manipulation of rectum
H46.3,Intubation of rectum for pressure manometry
H46.4,Intubation of rectum NEC
H46.8,Other specified other operations on rectum
H46.9,Unspecified other operations on rectum
H48.1,Excision of polyp of anus
H48.2,Excision of skin tag of anus
H48.3,Excision of perianal wart
H48.8,Other specified excision of lesion of anus
H48.9,Unspecified excision of lesion of anus
H49.1,Cauterisation of lesion of anus
H49.8,Other specified destruction of lesion of anus
H50.9,Unspecified repair of anus
H51.1,Haemorrhoidectomy
H51.3,Stapled haemorrhoidectomy
H51.8,Other specified excision of haemorrhoid
H52.1,Cryotherapy to haemorrhoid
H52.2,Infra red photocoagulation of haemorrhoid
H52.3,Injection of sclerosing substance into haemorrhoid
H52.4,Rubber band ligation of haemorrhoid
H52.8,Other specified destruction of haemorrhoid
H52.9,Unspecified destruction of haemorrhoid
H53.1,Evacuation of perianal haematoma
H53.2,Forced manual dilation of anus for haemorrhoid
H53.3,Manual reduction of prolapsed haemorrhoid
H53.8,Other specified other operations on haemorrhoid
H54.1,Anorectal stretch
H54.9,Unspecified dilation of anal sphincter
H55.1,Laying open of low anal fistula
H55.3,Laying open of anal fistula NEC
H55.4,Insertion of seton into high anal fistula and partial laying open of track HFQ
H55.5,Fistulography of anal fistula
H55.6,Probing of perineal fistula
H55.7,Repair of anal fistula using plug
H55.8,Other specified other operations on perianal region
H55.9,Unspecified other operations on perianal region
H56.1,Biopsy of lesion of anus
H56.2,Lateral sphincterotomy of anus
H56.4,Excision of anal fissure
H56.8,Other specified other operations on anus
H56.9,Unspecified other operations on anus
H57.1,Placement of artificial anal sphincter NEC
H57.2,Maintenance of artificial anal sphincter NEC
H57.3,Removal of artificial anal sphincter NEC
H57.4,Creation of graciloplasty sphincter
H57.5,Placement of dynamic graciloplasty sphincter
H57.6,Maintenance of dynamic graciloplasty sphincter
H57.7,Removal of dynamic graciloplasty sphincter
H57.8,Other specified other operations on the anal sphincter to control continence
H57.9,Unspecified other operations on the anal sphincter to control continence
H58.1,Drainage of ischiorectal abscess
H58.2,Drainage of perianal abscess
H58.8,Other specified drainage through perineal region
H58.9,Unspecified drainage through perineal region
H59.4,Excision of pilonidal sinus and suture HFQ
H60.3,Drainage of pilonidal sinus
H60.8,Other specified other operations on pilonidal sinus
H60.9,Unspecified other operations on pilonidal sinus
H62.1,Laser recanalisation of bowel NEC
H62.2,Mobilisation of bowel NEC
H62.3,Dilation of bowel NEC
H62.4,Intubation of bowel NEC
H62.5,Irrigation of bowel NEC
H62.6,Proctoscopy
H62.8,Other specified other operations on bowel
H62.9,Unspecified other operations on bowel
H66.1,Excision of ileoanal pouch
H66.2,Revision of ileo-anal pouch
H66.8,Other specified therapeutic operations on ileoanal pouch
H66.9,Unspecified therapeutic operations on ileoanal pouch
H68.1,Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using colonoscope
H68.2,Diagnostic endoscopic examination of colonic pouch using colonoscope NEC
H68.3,Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using colonoscope
H69.1,Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using fibreoptic sigmoidoscope
H69.3,Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using fibreoptic sigmoidoscope
H69.4,Diagnostic endoscopic examination of ileoanal pouch using fibreoptic sigmoidoscope NEC
H69.9,Unspecified diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
H70.1,Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using rigid sigmoidoscope
H70.2,Diagnostic endoscopic examination of colonic pouch using rigid sigmoidoscope NEC
H70.3,Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using rigid sigmoidoscope
H70.4,Diagnostic endoscopic examination of ileoanal pouch using rigid sigmoidoscope NEC
H70.8,Other specified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
H70.9,Unspecified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
J02.4,Wedge excision of liver
J02.9,Unspecified partial excision of liver
J06.9,Unspecified other transjugular intrahepatic operations on blood vessel of liver
J09.2,Laparoscopic ultrasound examination of liver and biopsy of lesion of liver
J10.1,Percutaneous transluminal embolisation of hepatic artery
J10.2,Percutaneous transluminal embolisation of portal vein
J11.2,Transjugular intrahepatic thrombectomy of portal vein
J11.4,Transjugular intrahepatic creation of portosystemic shunt
J11.5,Transjugular intrahepatic venography of portal vein
J12.3,Selective internal radiotherapy with microspheres to lesion of liver
J12.4,Percutaneous radiofrequency ablation of lesion of liver
J12.8,Other specified other therapeutic percutaneous operations on liver
J13.1,Percutaneous transvascular biopsy of lesion
J13.2,Percutaneous biopsy of lesion of liver NEC
J13.9,Unspecified diagnostic percutaneous operations on liver
J14.1,Biopsy of liver NEC
J17.1,Endoscopic ultrasound examination of liver and biopsy of lesion of liver
J18.3,Total cholecystectomy NEC
J18.9,Unspecified excision of gall bladder
J20.1,Closure of fistula of gall bladder
J24.1,Percutaneous drainage of gall bladder
J24.9,Unspecified therapeutic percutaneous operations on gall bladder
J26.8,Other specified other operations on gall bladder
J27.3,Partial excision of bile duct and anastomosis of bile duct to jejunum
J28.9,Unspecified extirpation of lesion of bile duct
J29.8,Other specified connection of hepatic duct
J30.1,Anastomosis of common bile duct to duodenum
J30.4,Revision of anastomosis of common bile duct
J31.9,Unspecified open introduction of prosthesis into bile duct
J33.3,Drainage of bile duct NEC
J33.8,Other specified incision of bile duct
J33.9,Unspecified incision of bile duct
J34.2,Sphincteroplasty of bile duct using duodenal approach NEC
J34.8,Other specified plastic repair of sphincter of oddi using duodenal approach
J34.9,Unspecified plastic repair of sphincter of oddi using duodenal approach
J35.9,Unspecified incision of sphincter of oddi using duodenal approach
J36.8,Other specified other operations on ampulla of vater using duodenal approach
J37.3,Direct puncture operative cholangiography
J37.8,Other specified other open operations on bile duct
J38.1,Endoscopic sphincterotomy of sphincter of oddi and removal of calculus HFQ
J38.2,Endoscopic sphincterotomy of sphincter of oddi and insertion of tubal prosthesis into bile duct
J38.8,Other specified endoscopic incision of sphincter of oddi
J38.9,Unspecified endoscopic incision of sphincter of oddi
J39.9,Unspecified other therapeutic endoscopic operations on ampulla of vater
J40.2,Endoscopic retrograde insertion of tubal prosthesis into bile duct NEC
J40.3,Endoscopic retrograde renewal of tubal prosthesis in bile duct NEC
J40.4,Endoscopic retrograde removal of tubal prosthesis from bile duct
J40.6,Endoscopic retrograde insertion of expanding metal stent into bile duct NEC
J40.7,Endoscopic retrograde renewal of expanding metal stent in bile duct
J41.1,Endoscopic retrograde extraction of calculus from bile duct
J41.2,Endoscopic dilation of bile duct NEC
J41.3,Endoscopic retrograde lithotripsy of calculus of bile duct
J42.1,Endoscopic retrograde insertion of tubal prosthesis into pancreatic duct
J42.2,Endoscopic retrograde renewal of tubal prosthesis in pancreatic duct
J42.9,Unspecified therapeutic endoscopic retrograde operations on pancreatic duct
J43.1,Endoscopic retrograde cholangiopancreatography and biopsy of lesion of ampulla of vater
J43.9,Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct
J44.9,Unspecified diagnostic endoscopic retrograde examination of bile duct
J45.9,Unspecified diagnostic endoscopic retrograde examination of pancreatic duct
J47.4,Percutaneous insertion of tubal prosthesis into hepatic duct NEC
J47.5,Percutaneous insertion of tubal prosthesis into common bile duct
J48.1,Renewal of percutaneously inserted tubal prosthesis in bile duct
J48.2,Removal of percutaneously inserted tubal prosthesis from bile duct
J48.6,Percutaneous transhepatic biliary drainage single
J50.1,T tube cholangiography
J50.2,Percutaneous cholangiography NEC
J50.5,Percutaneous transhepatic cholangiography
J62.8,Other specified incision of pancreas
J67.3,Percutaneous biopsy of lesion of pancreas
K01.1,Allotransplantation of heart and lung
K02.1,Allotransplantation of heart NEC
K02.3,Implantation of prosthetic heart
K02.8,Other specified other transplantation of heart
K02.9,Unspecified other transplantation of heart
K04.3,Repair of tetralogy of fallot using transannular patch
K04.5,Repair of tetralogy of fallot with absent pulmonary valve
K04.8,Other specified repair of tetralogy of fallot
K04.9,Unspecified repair of tetralogy of fallot
K06.1,Repositioning of transposed great arteries
K06.8,Other specified other repair of transposition of great arteries
K07.1,Correction of total anomalous pulmonary venous connection to supracardiac vessel
K07.3,Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel
K08.3,Repair of double outlet right ventricle
K08.8,Other specified repair of double outlet ventricle
K08.9,Unspecified repair of double outlet ventricle
K09.1,Repair of defect of atrioventricular septum using dual prosthetic patches
K09.3,Repair of defect of atrioventricular septum using tissue graft
K09.4,Repair of persistent ostium primum
K09.5,Primary repair of defect of atrioventricular septum NEC
K09.8,Other specified repair of defect of atrioventricular septum
K10.2,Repair of defect of interatrial septum using pericardial patch
K10.3,Repair of defect of interatrial septum using tissue graft NEC
K10.4,Primary repair of defect of interatrial septum NEC
K10.9,Unspecified repair of defect of interatrial septum
K11.1,Repair of defect of interventricular septum using prosthetic patch
K11.6,Repair of multiple interventricular septal defects
K11.8,Other specified repair of defect of interventricular septum
K11.9,Unspecified repair of defect of interventricular septum
K12.2,Repair of defect of septum of heart using pericardial patch NEC
K17.1,Total cavopulmonary connection with extracardiac inferior caval vein to pulmonary artery conduit
K18.3,Creation of valved conduit between right ventricle of heart and pulmonary artery
K20.1,Correction of persistent sinus venosus
K23.2,Biopsy of lesion of wall of heart
K26.3,Prosthetic replacement of aortic valve
K26.4,Replacement of aortic valve NEC
K26.8,Other specified plastic repair of aortic valve
K27.1,Allograft replacement of tricuspid valve
K28.3,Prosthetic replacement of pulmonary valve
K28.9,Unspecified plastic repair of pulmonary valve
K29.2,Xenograft replacement of valve of heart NEC
K31.8,Other specified open incision of valve of heart
K32.1,Closed mitral valvotomy
K33.1,Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit
K36.9,Unspecified excision of valve of heart
K37.1,Infundibulectomy of heart using patch
K37.3,Repair of subaortic stenosis
K37.5,Excision of supramitral ring
K37.8,Other specified removal of obstruction from structure adjacent to valve of heart
K38.5,Closure of aortic sinus of valsalva fistula
K38.6,Repair of aortic sinus of valsalva aneurysm
K42.1,Allograft replacement of one coronary artery
K42.8,Other specified allograft replacement of coronary artery
K43.8,Other specified prosthetic replacement of coronary artery
K44.9,Unspecified other replacement of coronary artery
K46.9,Unspecified other bypass of coronary artery
K48.1,Transection of muscle-bridge of coronary artery
K49.1,Percutaneous transluminal balloon angioplasty of one coronary artery
K50.9,Unspecified other therapeutic transluminal operations on coronary artery
K51.9,Unspecified diagnostic transluminal operations on coronary artery
K52.8,Other specified open operations on conducting system of heart
K52.9,Unspecified open operations on conducting system of heart
K56.2,Transluminal insertion of heart assist system NEC
K56.4,Transluminal removal of heart assist system
K57.2,Percutaneous transluminal ablation of conducting system of heart NEC
K57.5,Percutaneous transluminal ablation of atrial wall NEC
K58.5,Transluminal intracardiac echocardiography
K58.9,Unspecified diagnostic transluminal operations on heart
K59.1,Implantation of cardioverter defibrillator using one electrode lead
K59.2,Implantation of cardioverter defibrillator using two electrode leads
K59.4,Renewal of cardioverter defibrillator
K59.8,Other specified cardioverter defibrillator introduced through the vein
K60.1,Implantation of intravenous cardiac pacemaker system
K60.2,Resiting of lead of intravenous cardiac pacemaker system
K60.3,Renewal of intravenous cardiac pacemaker system
K60.4,Removal of intravenous cardiac pacemaker system
K60.5,Implantation of intravenous single chamber cardiac pacemaker system
K60.6,Implantation of intravenous dual chamber cardiac pacemaker system
K60.9,Unspecified cardiac pacemaker system introduced through vein
K61.1,Implantation of cardiac pacemaker system NEC
K61.3,Renewal of cardiac pacemaker system NEC
K61.8,Other specified other cardiac pacemaker system
K63.1,Angiocardiography of combination of right and left side of heart
K63.2,Angiocardiography of right side of heart NEC
K63.3,Angiocardiography of left side of heart NEC
K63.4,Coronary arteriography using two catheters
K63.6,Coronary arteriography NEC
K63.8,Other specified contrast radiology of heart
K63.9,Unspecified contrast radiology of heart
K65.2,Catheterisation of right side of heart NEC
K66.1,Cardiotachygraphy
K67.9,Unspecified excision of pericardium
K68.8,Other specified drainage of pericardium
K75.1,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery
K75.3,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
K75.4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC
K76.9,Unspecified transluminal operations on cardiac conduit
L01.1,Correction of persistent truncus arteriosus
L02.2,Ligature of patent ductus arteriosus
L02.3,Closure of patent ductus arteriosus NEC
L03.1,Percutaneous transluminal prosthetic occlusion of patent ductus arteriosus
L07.1,Creation of shunt to right pulmonary artery from right subclavian artery using interposition tube prosthesis
L08.8,Other specified other connection to pulmonary artery from subclavian artery
L08.9,Unspecified other connection to pulmonary artery from subclavian artery
